Year,shrub_and_scrub,built,bare_soil
2016,556.0705882352939,9.0,
2017,549.070588235294,16.0,
2018,556.0039215686273,9.0,0.06666666666666667
2019,554.1607843137253,10.909803921568628,
2020,553.0039215686273,10.0,2.0666666666666664
2021,544.1607843137255,20.909803921568628,
2022,536.2588235294118,28.81176470588235,
2023,547.1607843137255,17.909803921568628,
