Year,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare_soil,snow_and_ice
2016,46619.01176470588,5738365.36862745,168856.71764705883,520.0,401313.85098039213,16027323.764705874,44237.62745098039,90735.52156862745,9.0
2017,50759.874509803914,6777173.831372548,120694.97254901961,1038.0,395381.03529411764,14903320.764705868,40678.03921568628,228906.34509803925,28.0
2018,44529.21568627452,7242911.466666666,159075.9725490196,409.0,391026.74117647065,14527049.388235295,49276.63921568628,103702.43921568627,
2019,45086.39215686274,7651030.266666665,54523.00784313725,259.0,786101.0078431374,13767623.89411765,48345.4431372549,164996.85098039216,15.0
2020,55757.06666666665,7892974.329411766,104652.42745098038,431.0,350520.8431372549,13870624.698039215,47505.886274509794,195513.61176470589,1.0
2021,56766.274509803916,9297484.898039216,80095.48627450982,536.0,360683.6470588235,12498091.074509801,41634.74117647058,182663.74117647062,25.0
2022,54520.658823529404,10199124.458823532,190158.35294117648,563.4,161623.97647058824,11750802.000000004,56622.121568627445,104565.89411764705,
2023,45982.95686274509,8933420.003921572,192543.67843137257,421.0,136543.90588235296,13059138.803921577,56946.62352941175,92929.89019607841,54.0
