Year,water,trees,grass,crops,shrub_and_scrub,built,bare_soil,flooded_vegetation,snow_and_ice
2016,22927.129411764716,94357.96078431372,6074.0,250708.18823529407,4989318.545098038,25820.756862745096,14137476.129411772,,
2017,13279.839215686274,38365.972549019614,1495.0,519168.27058823535,3618154.2627450977,21454.39215686274,15314684.97254902,80.0,
2018,11454.376470588244,53450.478431372554,2952.0,407386.6666666667,3640001.3176470576,24423.666666666664,15387014.203921571,,
2019,14252.313725490194,26400.003921568623,3386.0,574617.2196078433,2953693.709803921,23667.545098039216,15930664.917647056,1.0,
2020,26778.913725490194,63882.76470588235,9534.980392156862,538462.6666666666,3603281.6941176476,32985.84705882353,15251642.84313726,42.0,71.0
2021,28355.30196078432,82701.33725490196,6099.0,584111.3647058823,4009659.031372549,36546.117647058825,14779138.55686275,63.0,9.0
2022,45966.1411764706,247765.8666666667,12621.0431372549,319448.30980392155,6059899.270588232,40962.82352941176,12799251.925490199,765.3294117647059,2.0
2023,31013.403921568628,103738.15686274509,5363.725490196079,428360.9176470588,4635379.376470586,34665.43529411765,14287472.51764706,685.1764705882354,4.0
