Year,water,trees,grass,crops,shrub_and_scrub,built,bare_soil,flooded_vegetation
2016,29606.43137254902,98874.71372549019,1094.0,171001.0745098039,2847586.8666666667,6382.788235294117,7318666.007843135,
2017,12413.019607843136,27355.15294117647,,314776.97254901956,2230665.1529411767,4010.972549019608,7883982.611764706,8.0
2018,21956.52549019608,33895.313725490196,50.0,258681.2470588235,2016172.1215686274,3817.1686274509802,8138639.50588235,
2019,15187.988235294119,11822.254901960785,14.0,268814.02352941176,1640655.2392156862,3842.572549019608,8532875.803921567,
2020,26839.047058823526,61016.74509803922,5832.0,378561.43921568623,2405423.6705882354,6122.956862745098,7589416.023529411,
2021,44484.42352941175,44356.301960784316,189.0,381604.69803921564,2512577.2039215686,5467.933333333333,7484505.321568627,27.0
2022,39833.4,148210.9843137255,22371.0,259603.18039215688,3630849.745098037,9427.764705882355,6362915.807843135,
2023,11361.635294117648,81221.87450980394,5759.0,258911.45098039214,3087721.28627451,5514.501960784315,7022722.133333331,
