Year,water,trees,grass,crops,shrub_and_scrub,built,bare_soil,snow_and_ice,flooded_vegetation
2016,15560.090196078432,52186.396078431375,2566.7843137254904,94196.7294117647,3590504.843137253,7080.760784313726,4899418.231372546,,
2017,7488.807843137255,12301.4,687.0,201873.83529411766,2618370.5372549,5859.4431372549025,5814932.8117647,,
2018,9173.360784313725,22574.686274509804,1034.0,176744.56078431377,2625406.3686274495,6729.466666666666,5819851.39215686,,
2019,9791.282352941176,11643.592156862745,2640.027450980392,306628.17647058825,2202509.294117646,5662.35294117647,6122639.109803915,,
2020,13155.878431372548,37158.89411764706,7606.807843137253,221115.88627450983,2673188.0431372537,7057.533333333333,5702221.7921568565,9.0,
2021,18641.78823529412,49917.22745098038,4619.027450980392,257362.7137254902,2986839.3137254887,7287.105882352941,5336837.658823526,9.0,
2022,27770.921568627447,167060.96078431376,8652.341176470585,94302.368627451,4320666.854901958,8167.898039215686,4034864.4901960804,2.0,26.0
2023,16320.960784313726,51948.92941176471,886.4196078431373,134684.85490196076,3310237.9921568613,7943.560784313726,5139436.117647057,4.0,51.0
