Year,trees,crops,shrub_and_scrub,bare_soil,grass,water,built
2016,664.8196078431372,72847.37254901964,171781.67058823525,1512779.2078431372,,,
2017,458.5176470588235,145294.02352941176,74967.94509803921,1537352.5843137256,,,
2018,427.36470588235295,93613.14509803921,55609.027450980386,1608423.5333333334,,,
2019,217.60392156862744,130915.97647058824,34858.686274509804,1592080.8039215684,,,
2020,308.7450980392157,109107.768627451,72444.8431372549,1576210.71372549,1.0,,
2021,665.9882352941177,149970.35294117645,104765.38823529413,1502664.8901960785,,4.450980392156863,2.0
2022,2077.247058823529,78276.08235294119,268038.0000000001,1409043.9254901956,5.784313725490197,632.0313725490196,
2023,587.9372549019608,113049.89803921571,86408.91372549019,1557862.8235294116,127.49803921568628,36.0,
