Year,water,trees,grass,crops,shrub_and_scrub,built,bare_soil,flooded_vegetation,snow_and_ice
2016,22927.090196078432,94349.24705882353,6073.83137254902,250682.0862745098,4988866.125490194,25816.254901960787,14135835.12549026,,
2017,13279.807843137254,38361.25098039216,1495.0,519105.1137254901,3617825.7725490183,21451.560784313726,15312951.25490203,80.0,
2018,11454.360784313725,53445.40392156863,2952.0,407355.6588235295,3639713.4274509777,24420.349019607842,15385208.560784388,,
2019,14252.282352941176,26395.63529411765,3385.9686274509804,574545.9490196079,2953486.6784313708,23664.713725490197,15928817.533333413,1.0,
2020,26778.87843137255,63877.2156862745,9534.686274509802,538391.0156862744,3602955.6705882335,32982.16862745098,15249917.125490269,42.0,71.0
2021,28354.850980392155,82687.631372549,6097.674509803922,584057.2000000001,4009317.3019607808,36542.86666666667,14777420.235294186,63.0,9.0
2022,45965.19607843138,247747.0392156863,12615.172549019606,319428.7019607844,6059314.847058819,40957.07843137255,12797754.396078471,765.3294117647059,2.0
2023,31013.376470588235,103723.80784313726,5359.745098039215,428326.0705882354,4634944.203921566,34661.027450980386,14285832.352941237,685.1764705882354,4.0
