Year,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare_soil,snow_and_ice
2016,1201797.5960784147,10537730.521568619,941526.3294117646,10710.141176470584,218580.3098039216,6812578.745098036,8078.945098039217,1748419.9450980392,4679.027450980406
2017,1167215.9294117484,10103614.466666657,919463.3764705881,9960.592156862744,291993.2352941177,6750499.0980392145,7877.831372549021,2229852.2313725483,3624.8000000000025
2018,1156774.5764705723,10310825.015686268,955382.4,7659.321568627446,351742.1529411764,6372161.274509804,8756.9568627451,2317560.101960784,3239.7607843137257
2019,1157442.7137254742,10285789.20392156,734338.4392156864,8026.760784313725,401389.2196078431,6631791.039215684,8682.145098039218,2252804.0313725485,3838.0078431372626
2020,1189660.7960784151,10608582.325490192,856811.8705882353,11619.329411764706,591162.094117647,6410436.227450978,8917.25098039216,1804185.7725490197,2725.894117647059
2021,1176730.8862744933,9437121.337254899,624782.0352941176,11539.564705882352,359224.6666666666,6586738.482352942,9891.01568627451,3273151.760784312,4921.811764705897
2022,1176740.6117646894,10336906.525490187,873523.8823529411,9663.427450980393,403573.062745098,6624340.64705882,10021.643137254901,2045790.1176470588,3541.643137254904
2023,1181999.035294101,10807058.937254893,939913.3725490198,13227.55294117647,311452.0549019608,6338895.199999997,8363.976470588237,1879592.447058824,3598.984313725493
