Year,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare_soil,snow_and_ice
2016,177453.6117647058,13152517.066666653,3219404.7686274447,8516.211764705888,2100655.972549007,11549425.30196075,240355.78823529385,1486673.9529411732,3889.4901960784314
2017,166327.1843137254,12386360.717647033,3216305.407843129,8425.905882352941,2377450.062745085,10959196.82352936,247377.62352941156,2574293.4392156703,3155.0
2018,152621.94901960777,12544861.86666664,3197146.258823522,7742.654901960786,2529280.06666667,10649859.815686215,262485.3098039213,2592871.360784299,2022.8823529411766
2019,151742.36078431364,12686333.392156834,2825582.2980392105,5642.145098039216,2784293.596078428,10875045.32156856,261745.99607843114,2347222.0549019543,1285.0
2020,165060.8862745097,13003121.94509801,2906837.86666666,8372.46274509804,3179382.266666674,10745282.278431334,269224.3803921566,1660850.0784313686,760.0
2021,144208.21176470583,11639804.537254877,2481571.513725487,6960.827450980392,3216790.3137255083,9888873.65490193,272506.24313725467,4285929.250980399,2247.6117647058823
2022,165458.20392156852,12377239.070588196,3084708.3058823473,8465.380392156865,2868842.7725490183,10699843.392156802,276610.37254901935,2457126.66666666,598.0
2023,179734.650980392,13714563.231372539,3201545.3568627373,15356.698039215698,2565989.8980392013,10209952.36470583,267202.270588235,1783967.952941173,579.7411764705882
