Year,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare_soil,snow_and_ice
2016,44584.133333333324,6644718.199999998,33614.24705882353,2923.98431372549,989479.9058823533,28409184.415686283,57795.30196078431,363051.8039215686,107.0
2017,64243.31764705882,9532462.278431373,98084.80392156861,4076.7176470588233,1310900.0705882355,25141802.047058824,53952.184313725484,339935.5725490196,2.0
2018,61581.67843137255,5640876.121568628,101665.91764705883,1712.4156862745097,1236080.6627450986,29114274.77647058,59928.850980392155,329325.56862745096,13.0
2019,43670.325490196075,6478863.305882354,14951.0,2776.113725490196,1700991.8431372552,27903748.53333335,61235.97254901961,339218.89803921565,3.0
2020,94649.65098039212,8152019.400000001,5721.819607843137,3354.090196078432,1148916.6549019606,26668286.192156866,62863.03921568628,409624.14509803936,24.0
2021,124172.4588235294,12695822.956862746,15803.0,6800.321568627452,1406823.5882352947,21978726.454901982,69060.76470588235,248249.4470588235,
2022,187067.35294117645,11045926.466666656,130313.1137254902,12373.76470588235,1267317.1529411764,23581934.02352942,71840.89411764703,248685.22352941174,1.0
2023,153566.43921568626,18411693.415686265,209847.7568627451,13591.92156862745,1518635.0549019605,15900689.337254902,72808.09411764707,264597.9725490197,29.0
