Year,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare_soil,snow_and_ice
2016,95865.01176470585,13865314.419607839,206743.36470588236,3626.3058823529414,1196202.7372549018,39330448.384313844,133036.3333333333,133138.4705882353,165.0
2017,143137.21176470586,20652455.349019594,484344.46274509805,10834.254901960785,1723983.5450980393,31638038.31372554,142532.50588235294,169038.38431372552,176.0
2018,121406.81960784314,17452117.415686276,243861.19999999992,6118.898039215687,1975602.4039215676,34906300.56862754,172730.60392156863,86034.11764705883,368.0
2019,125344.4156862745,20271128.878431357,391288.1607843137,7613.380392156863,1531729.7254901954,32342887.725490216,180157.36862745098,114242.3725490196,148.0
2020,136441.0274509804,27368780.07843136,1160626.5176470585,9003.372549019608,485093.49803921557,25469671.40000002,195627.67058823528,138851.46274509805,445.0
2021,155396.23921568625,34930504.92549026,1194812.2352941171,6179.549019607843,303448.3372549019,17914402.53725491,196488.8941176471,261772.30980392153,1535.0
2022,168416.29803921565,38115573.39607853,1394169.5176470587,8267.823529411766,148452.85490196076,14831191.698039224,237257.98431372555,59643.588235294126,1566.8666666666666
2023,199901.54901960786,36815643.223529495,1790575.8156862746,6016.023529411766,263915.8,15544174.062745092,241243.13333333333,102918.41960784314,152.0
