Year,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare_soil,snow_and_ice
2016,24672.96862745113,610728.6666666652,279520.63921568595,7919.427450980391,280544.8627450973,4116256.9333333704,155334.29411764452,127495.47058823534,13327.078431372607
2017,24607.137254902107,548757.2862745089,112731.98823529413,8022.666666666667,312292.3019607836,4260483.63921572,150073.56470588,184628.7294117646,14203.027450980451
2018,25061.298039215835,573517.6862745082,196168.41176470582,8961.176470588236,357347.73725490103,4038767.513725518,161310.41176470334,243745.41568627418,10920.690196078483
2019,26374.231372549177,496352.97254901845,177422.12941176465,8469.4431372549,271653.34901960735,4329017.439215728,165474.14509803633,130179.66274509806,10856.968627451039
2020,26975.537254902116,679466.9725490179,131393.5294117647,9655.552941176471,256255.3999999996,4175800.9960784507,168801.62745097742,155783.33333333328,11667.392156862801
2021,27782.494117647213,550217.3686274497,52120.12549019608,9303.376470588235,179793.6470588233,4493345.972549061,172323.50196078123,121859.3137254902,9054.54117647064
2022,28128.623529411925,980536.4156862706,126246.01176470587,9217.67843137255,188209.02352941158,3972243.031372556,178001.7764705851,120250.69803921573,12967.08235294123
2023,27166.26666666681,803156.1137254881,84654.25098039219,9696.588235294117,159004.4352941175,4249401.713725508,187263.05098038848,82624.23921568626,12833.68235294124
