Year,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare_soil,snow_and_ice
2016,1849106.2862745102,990404.4823529412,127791.29019607844,85353.72156862746,116949.89019607841,2244403.1450980376,6375.396078431373,222650.70588235295,38140.27843137254
2017,1853831.1254901965,1006381.8627450981,52361.274509803916,86923.7725490196,178295.77647058817,2331510.2392156846,5057.3294117647065,130010.19215686274,36803.623529411765
2018,1848386.164705883,1052206.294117647,88343.10196078432,97663.81568627451,210013.52549019622,2208691.1803921554,5822.835294117648,144841.01960784313,25207.25882352941
2019,1856660.68627451,1055642.1529411767,108813.83921568628,92655.58823529411,99273.8274509804,2320769.627450979,6673.525490196078,116526.0431372549,24159.905882352945
2020,1849245.8352941182,1235722.317647059,59936.04313725489,92228.03529411764,83093.00000000004,2192497.941176469,6595.235294117648,139060.48235294118,22796.305882352943
2021,1856100.2196078436,1119356.9568627453,24270.650980392158,94486.18431372549,50588.75294117646,2388461.513725489,6825.64705882353,123731.84705882354,17353.423529411768
2022,1851323.278431373,1476476.917647059,96033.25882352942,96510.62745098039,65655.39607843137,1954717.6823529396,7900.839215686276,108899.90588235296,23657.29019607843
2023,1849186.403921569,1354859.6784313726,52750.341176470596,97375.95294117648,53621.40392156863,2136464.36470588,8500.101960784312,108260.53333333334,20156.41568627451
