Year,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare_soil,snow_and_ice
2016,916581.8705882357,672587.8823529414,244214.52549019593,7571.419607843138,226394.4705882353,3928693.7294117687,47664.64313725498,131269.3294117648,20001.470588235366
2017,916468.6666666671,608859.3137254904,97729.14117647056,7561.886274509803,274320.6509803922,4074593.537254907,41446.07058823535,152928.1921568628,21071.882352941233
2018,917026.2588235299,637885.0313725491,162522.07843137247,8620.211764705884,320966.35686274513,3894498.254901963,48168.560784313806,189015.41960784304,16277.168627451074
2019,917867.6117647067,554421.0156862745,137914.12156862748,7817.117647058822,251220.39999999997,4166926.054901964,50791.43921568636,92210.874509804,15810.70588235306
2020,917361.7843137264,732480.6078431377,104111.3568627451,8311.17254901961,244379.0705882353,4002672.396078438,53196.99215686282,115997.5019607844,16468.458823529527
2021,917951.3372549025,610103.211764706,34009.00784313725,7902.835294117645,164020.4862745098,4298003.4784313785,55322.23529411772,94756.14509803927,12910.603921568767
2022,917318.7803921576,1068974.8313725488,117984.17254901963,7557.968627450979,176611.1921568628,3725848.156862754,60298.95686274517,102628.32941176479,17756.95294117656
2023,917000.133333334,878038.0117647062,69216.20392156864,8286.545098039216,153028.59999999995,4017650.349019616,66142.8509803922,68230.75686274513,17385.89019607853
