Year,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare_soil,snow_and_ice
2016,72587.57647058823,918043.8156862746,1112521.980392157,36.0,2524450.427450981,6477072.91372549,199134.91372549027,1081810.3882352943,10786.137254901962
2017,28743.52549019608,712955.2156862745,622954.9019607842,79.0,2515834.5921568633,6686989.886274514,197176.1411764706,1631689.890196079,21.0
2018,34070.121568627445,984993.5019607843,1493533.1294117654,2.0,2391515.678431372,6299014.376470588,210661.03137254904,982643.3137254901,11.0
2019,19050.607843137255,966158.725490196,682700.2666666667,48.0,3013989.576470589,6337408.666666666,214094.03921568632,1162994.2705882357,
2020,19822.101960784315,1270013.1019607845,1061105.3921568627,15.0,2577693.7568627447,6534271.89803922,224547.2627450981,708973.6392156862,2.0
2021,43129.00784313725,1239160.2784313727,1266257.2235294133,244.0,2008567.8509803922,6641814.31764706,221958.50980392162,975293.9647058824,19.0
2022,29717.807843137256,1383671.9647058824,1744246.7568627454,918.9450980392157,1801620.270588237,6587248.760784315,237003.27058823535,611967.3764705884,49.0
2023,23926.466666666667,1254420.0784313725,1924545.4980392156,310.0,1933575.0352941202,6403126.768627452,242219.08627450987,614321.2196078431,
