Year,water,trees,grass,crops,shrub_and_scrub,built,bare_soil,snow_and_ice
2016,3827.55294117647,74571.6156862744,113280.54117647055,119211.99215686269,669772.454901961,10154.372549019608,98344.38823529409,563.6941176470586
2017,504.0,50320.72549019599,30182.84705882353,141858.6392156862,751549.1803921568,8482.73725490196,106828.48235294118,
2018,1756.0,87974.05882352931,109196.20784313726,160398.40784313716,603112.6745098038,11006.427450980393,116282.83529411763,
2019,458.0,92826.22352941165,124947.59607843141,139842.97647058815,634099.0039215684,9371.619607843137,88181.19215686276,
2020,882.0,143804.48627450957,165128.66274509806,155124.00784313717,582284.725490196,12366.313725490196,30136.415686274508,
2021,2932.4470588235295,109181.25490196074,81480.05882352941,65869.43529411765,746279.2000000002,6169.6352941176465,77814.58039215687,
2022,1243.0,125275.45490196071,206803.9294117647,73797.45490196078,646080.4117647058,8543.23137254902,27983.129411764712,
2023,970.0,111210.18039215673,316092.7803921568,119873.21568627447,499232.074509803,8982.2,33366.16078431373,
