Year,crops,shrub_and_scrub,bare_soil,water,trees,grass,flooded_vegetation,built,snow_and_ice
2016,116654.47843137254,3671618.7294117655,13342570.48627449,68423.91372549019,195915.00392156863,3725.0,2295.0,4153.247058823529,89.0
2017,285722.5764705883,2949325.2901960756,14064151.235294094,45201.933333333334,56031.839215686276,162.0,307.0,4542.98431372549,
2018,220061.2470588235,2887680.6588235265,14219053.258823505,33989.07058823529,39115.72549019608,1230.0,179.0,4135.898039215686,
2019,328758.8509803921,2796766.133333332,14215603.188235268,28582.6862745098,31014.0,,654.0,4066.0,
2020,246749.25882352938,2630702.5176470554,14460693.352941152,32340.266666666666,31174.533333333333,59.0,30.0,3695.929411764706,
2021,165150.58431372544,2470035.2117647026,14713576.298039187,21004.321568627453,31667.513725490197,560.0,,3450.929411764706,
2022,189353.48627450975,2500191.3490196047,14614181.066666644,47930.67843137255,46415.27843137255,3019.0,794.0,3560.0,
2023,153697.2705882353,2449806.5019607805,14658971.682352917,69753.85098039216,66488.55294117647,790.0,2231.0,3706.0,
