Year,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare_soil,snow_and_ice
2016,81745.31372549021,300115.674509804,26631.184313725487,1520.078431372549,431313.6784313725,10492449.623529471,14186.313725490194,18998705.352941185,320.0
2017,29543.070588235296,63455.79999999999,2441.0,1885.9019607843138,937561.1921568629,8586586.549019642,12865.094117647059,20712629.611764707,19.0
2018,48258.63137254903,53309.07450980392,6935.0,914.9607843137255,753902.2901960781,8926783.160784356,12326.223529411764,20544551.87843137,6.0
2019,49335.639215686286,49100.26666666666,1471.0,2020.9372549019608,1168585.7529411763,8348870.392156897,11558.317647058824,20716044.913725495,
2020,84062.9137254902,45949.01176470588,2779.0,1373.0274509803921,798475.3137254899,7649765.741176499,12229.549019607843,21752349.66274511,3.0
2021,102705.01568627452,80867.4156862745,5115.0,1920.8823529411766,589952.8509803921,7922487.423529436,13406.976470588233,21630528.654901966,3.0
2022,80901.63137254902,86216.99999999997,10755.486274509803,5514.294117647059,514774.90588235285,7735503.78431375,13859.172549019608,21899460.945098035,
2023,75958.73333333334,139095.3843137255,9423.360784313725,2663.2862745098037,538216.9960784313,7497788.7019608,13879.439215686276,22069961.31764707,
