Year,water,trees,grass,crops,shrub_and_scrub,built,bare_soil,flooded_vegetation,snow_and_ice
2016,18072.458823529425,162144.25098039213,9232.611764705882,192100.05882352943,4779129.074509806,4831.0,15765596.639215719,8.0,106.0
2017,7771.560784313728,30690.713725490194,1283.0,369851.72941176477,4055694.737254902,4393.0,16461428.352941202,107.0,
2018,11561.666666666672,20278.670588235294,3840.0,276860.2392156863,4143845.6745098014,4105.0,16470725.843137287,,3.0
2019,16718.019607843144,14519.921568627451,768.0,429934.9058823531,3867116.345098037,3790.0,16598372.90196082,,
2020,38082.08627450981,18400.403921568628,1643.0,315349.3843137255,3544037.799999998,3825.0,17009879.419607874,,3.0
2021,46912.81960784315,33964.4431372549,3212.0,190788.3215686274,3502211.717647056,4392.999999999999,17149734.792156894,,3.0
2022,29774.180392156868,38057.82352941176,3286.035294117647,191837.52156862745,3418851.3725490165,5159.0,17244253.160784345,1.0,
2023,16224.372549019607,60886.07450980392,3842.0,255620.74509803925,3134558.454901958,5415.0,17454570.447058853,103.0,
