Year,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare_soil,snow_and_ice
2016,28828.94117647059,1604021.3450980394,2245633.4235294117,6351.427450980393,1521762.2862745083,1132616.3058823536,124430.50588235294,40332.83137254903,5805.352941176469
2017,26191.313725490192,1305670.8313725495,1807959.3960784315,4234.560784313726,2040904.9999999974,1324180.1843137261,128072.07450980389,66324.30196078432,6244.756862745096
2018,24181.909803921564,1401589.1529411778,1538416.2941176472,2622.3647058823535,2235700.811764704,1309395.5686274518,132818.4470588235,59958.85098039214,5099.019607843134
2019,25569.729411764707,1370262.8666666674,1917548.2823529418,3342.6745098039214,1959356.3098039187,1256528.7647058826,135988.05098039217,36720.262745098036,4465.478431372548
2020,30982.607843137255,1678791.415686275,1909690.0745098044,4986.9607843137255,1817193.0313725495,1099719.7137254914,137476.49019607843,25885.003921568637,5057.121568627449
2021,50233.69803921568,2140313.2352941176,2278731.596078431,22494.713725490197,1226543.1098039208,836061.6117647066,130986.05098039216,19187.384313725495,5231.019607843136
2022,29626.505882352936,1592200.9372549024,2201199.207843139,6585.266666666666,1508933.094117646,1190171.3960784324,138550.74509803922,38468.26666666668,4046.9999999999986
2023,33107.87450980392,1779919.4313725492,2333630.5058823517,8429.039215686278,1414783.678431371,978511.4901960794,136535.58823529413,19902.854901960796,4961.956862745098
