Year,trees,grass,crops,shrub_and_scrub,built,bare_soil
2016,183.69803921568626,619.0,2193521.3058823524,11382040.125490194,3756.0392156862745,93144638.72549017
2017,104.0,17.0,2283168.7725490197,17669579.164705887,3944.027450980392,86767945.92941171
2018,23.00392156862745,62.0,1135994.2470588235,17927163.996078413,3862.607843137255,87657653.03921552
2019,,,155862.01176470585,5047206.0039215665,3933.529411764706,101517757.34901977
2020,40.0,,557950.2352941177,9451201.298039211,4018.5372549019608,96711548.82352951
2021,8480.38431372549,13460.266666666648,2365838.815686275,42207220.07450981,4168.623529411764,62125590.72941164
2022,1072.0,17963.960784313724,1307087.298039216,58281592.80784309,4049.8980392156864,47112992.929411665
2023,,,914865.5294117647,5542726.741176466,4501.392156862745,100262665.23137258
