Year,grass,crops,shrub_and_scrub,built,bare_soil,water,trees
2016,19.0,1133570.2352941178,106886.2549019608,2064.823529411765,16423146.011764688,,
2017,140.0,2486075.4235294135,315615.937254902,2578.1882352941175,14861276.77647057,,
2018,2.0,782202.4196078432,193327.7058823528,2506.321568627451,16687647.878431352,,
2019,,50063.541176470586,17899.709803921574,2403.7607843137257,17595319.31372547,,
2020,,522323.53333333327,63749.20392156863,2553.549019607843,17077060.03921566,,
2021,4742.4862745098035,2051230.88235294,5020714.48627451,3714.486274509804,10573807.63137254,2.0,11474.35294117647
2022,62992.0,1436805.5999999992,7381766.098039212,3806.1254901960783,8779230.5607843,,1085.9411764705883
2023,,726082.3960784317,453834.17647058814,3181.098039215686,16482588.654901946,,
