Year,trees,grass,crops,shrub_and_scrub,bare_soil,water
2016,16.219607843137254,682.5960784313726,226.33333333333331,7240.278431372548,13777.921568627462,
2017,,25.0,931.541176470588,10412.847058823534,10573.960784313727,
2018,,90.33333333333334,575.0784313725488,10427.709803921582,10830.2274509804,20.0
2019,,56.73333333333334,1074.733333333333,14059.262745098047,6752.619607843136,
2020,48.36470588235294,2827.2509803921566,632.9607843137255,13830.450980392152,4577.321568627449,27.0
2021,24.188235294117646,56.6156862745098,75.88627450980393,18558.317647058855,3228.3411764705884,
2022,120.30980392156862,403.39215686274514,34.0,19361.992156862747,1989.6549019607837,34.0
2023,155.59215686274513,312.4,20.0,18934.690196078434,2470.666666666666,50.0
