Year,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare_soil,snow_and_ice
2016,407296.0,7846116.999999994,917120.5176470586,3039,4201846.631372548,58961028.86274516,114664.05490196077,8139742.486274509,77.0
2017,121441.00000000001,5168230.015686273,691633.9529411765,891,6753859.898039215,51610617.337254934,102488.6,16141767.749019595,2.0
2018,101690.21176470589,5349086.372549017,830220.2078431372,785,7228708.301960781,53640288.2509805,107069.10980392157,13333078.098039208,6.0
2019,150444.69411764707,4573679.533333331,462963.725490196,386,11035351.215686271,51194778.80392162,111537.81960784315,13061767.76078431,22.0
2020,259055.8156862745,9452232.623529404,1693374.7921568628,622,7522046.952941178,55556022.44705883,109456.4431372549,5998118.47843137,2.0
2021,176717.18823529413,5761950.262745097,899685.6980392158,813,7090015.717647057,54868047.349019684,108618.67843137254,11685083.658823526,
2022,189596.88235294115,9959313.019607836,2814973.5176470582,2139,2746531.3764705877,59467934.1529412,120911.74117647059,5289485.862745097,46.0
2023,256884.86666666664,10554044.694117645,1646641.6627450981,1799,1396592.0509803921,60530184.82745103,113783.44313725489,6090892.007843137,109.0
