Year,trees,crops,shrub_and_scrub,water,grass,flooded_vegetation,built,bare_soil,snow_and_ice
2016,1549500.5254901957,1729333.1647058818,11648154.66274507,84788.00392156863,176477.98823529418,1023,164627.84313725465,1235909.031372549,
2017,996362.9843137256,2541264.584313725,9442673.776470566,36743.27450980392,147663.16470588237,430,156393.80784313707,3268282.6274509807,
2018,1063314.6941176474,2692692.6274509802,10004473.788235273,24018.780392156863,124172.26274509807,438,161712.92156862732,2518991.1450980394,
2019,750548.2352941176,3796596.168627451,8663399.984313706,26140.992156862747,70212.12549019608,125,165366.9176470587,3117424.796078431,
2020,1705084.3843137254,2989748.631372548,10467042.650980368,60758.725490196084,353752.11372549034,122,163444.41176470576,849861.3019607845,
2021,926387.8039215687,2855625.498039215,10168324.909803892,49977.635294117645,146897.8470588236,369,167679.92156862727,2274551.6039215685,
2022,1908479.015686274,1153834.0235294113,11764057.80392155,44893.20784313726,895669.117647059,487,170973.35686274493,651418.6941176471,2.0
2023,1920816.7568627452,538430.0470588233,12556298.054901935,67120.7568627451,497053.6941176471,625,164542.64313725475,844926.2666666667,1.0
