Year,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare_soil
2016,82761.10980392157,457944.431372549,25870.7568627451,1144.0,93354.29019607844,1477956.760784313,1248.3372549019607,115451.27058823532
2017,49288.921568627455,357843.99215686275,14167.929411764706,397.0,179980.05882352943,1400670.650980392,1065.7529411764704,252316.6509803922
2018,39493.74117647059,328072.79215686285,16313.18431372549,210.0,209006.43529411763,1440556.5568627452,1035.764705882353,221042.4823529413
2019,20715.007843137257,273989.69019607845,6977.090196078431,,292998.37647058826,1417010.5058823535,974.7450980392156,243065.54117647055
2020,48903.933333333334,474394.1686274508,33824.3568627451,1288.0,196429.305882353,1436313.16862745,900.3098039215686,63677.713725490205
2021,38701.15294117647,350407.4705882353,12431.33725490196,341.0,218911.72549019608,1425149.3490196075,964.7725490196077,208824.1490196078
2022,33899.73333333334,537221.4627450979,60340.78039215686,745.0,65082.63529411765,1491023.8431372542,1113.235294117647,66304.26666666666
2023,74375.9843137255,519640.63921568636,26115.117647058825,1937.0,36767.00784313726,1459138.2941176463,1057.3882352941177,136699.52549019613
