Year,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,bare_soil,snow_and_ice,built
2016,26769.23529411765,537192.5960784314,76796.59215686275,310.69803921568626,5222588.862745099,83763365.48235276,27889028.862745028,13982.400000000001,159592.56470588237
2017,22517.294117647063,217967.8431372549,2571.81568627451,7.866666666666666,5832317.298039216,75676684.01176456,35777065.10196071,15657.850980392164,144838.2117647059
2018,22047.46274509804,114675.50196078433,1799.6549019607842,52.870588235294115,5134627.262745097,71678737.59999989,40580915.69411758,12879.349019607846,143891.89803921565
2019,20658.721568627454,123537.98823529413,5082.360784313723,89.52549019607844,5222492.05882353,69333786.58431362,42822425.49803913,14059.156862745105,147495.39999999997
2020,20051.70980392157,69879.10588235295,1150.9725490196079,263.94509803921574,4953677.768627451,65854547.176470466,46630376.99215677,13683.17647058824,145996.4470588235
2021,23267.87058823529,115222.01568627452,9216.701960784314,165.11764705882354,7278596.266666675,69585195.97254892,40501975.61960773,11015.650980392158,164972.07843137253
2022,31198.815686274513,400577.86274509795,64610.29411764706,113.54901960784314,5966635.400000004,80001542.81568614,31035512.97647052,11342.364705882357,178093.21568627452
2023,27946.796078431373,155046.97647058824,22134.701960784318,127.82352941176471,6457760.541176471,76561681.7058822,34285234.45098032,11847.360784313727,167846.93725490198
