Year,trees,crops,shrub_and_scrub,bare_soil,grass,built,water,flooded_vegetation,snow_and_ice
2016,283565.75686274504,1226491.0823529412,40111455.41568628,12634791.803921564,9784.0,61314.5568627451,2241,37.0,
2017,126835.82352941178,1481651.6352941175,37413100.93333334,15251235.42745098,365.0,55590.79607843138,901,,
2018,66460.35294117648,1216521.0588235294,34589139.34901962,18400256.670588236,439.0,55816.18431372549,1028,20.0,
2019,90879.6,1246504.4588235295,35054201.18431373,17877186.3254902,499.0,59502.047058823526,866,,42.0
2020,46232.03137254902,1141080.505882353,32692867.929411765,20391247.141176473,12.0,57390.00784313725,851,,
2021,68674.9568627451,1905127.3686274514,34666328.31764706,17622806.776470587,191.28627450980395,65325.90980392157,1202,,24.0
2022,256140.96470588233,1499418.8313725488,39588458.886274494,12904541.576470584,8041.3803921568615,70593.97647058823,2375,25.0,85.0
2023,100445.5568627451,1559557.1450980394,37213336.039215684,15385373.890196074,721.0,68295.9843137255,1838,3.0,110.0
