Year,grass,crops,shrub_and_scrub,bare_soil,snow_and_ice,water,trees,flooded_vegetation,built
2016,42864.211764705884,1920990.7450980386,16890411.113725442,5907348.466666667,4546.8,15392.113725490188,61947.92549019608,20.41176470588235,25721.603921568632
2017,1899.81568627451,2090722.4627450977,14093343.317647023,8611047.039215678,5789.090196078434,14760.341176470583,30281.647058823528,3.552941176470588,21396.125490196082
2018,1108.792156862745,1800076.6862745096,13521874.137254864,9491971.08235293,4716.886274509803,15165.121568627448,14293.847058823529,2.56078431372549,20034.27843137255
2019,3977.6274509803907,1751102.360784314,12125053.074509773,10943387.168627435,5321.725490196077,14452.949019607839,6379.086274509804,4.552941176470588,19564.84705882353
2020,828.6,1695054.0941176475,11674918.850980368,11455152.792156849,4949.058823529413,14115.5568627451,4443.458823529412,5.545098039215686,19775.435294117648
2021,6714.36862745098,2470039.117647059,12521781.423529396,9820499.71764705,3749.074509803922,14893.615686274507,7174.796078431373,4.545098039215686,24386.733333333337
2022,33892.32156862745,2071605.4745098045,14838990.047058789,7853379.71764705,3786.2705882352952,20602.945098039214,20654.97647058823,3.168627450980392,26328.470588235297
2023,14276.874509803922,2350325.2392156855,14850787.874509763,7597140.623529404,4545.141176470589,18551.149019607834,9286.63137254902,56.168627450980395,24273.69019607843
