Year,water,grass,flooded_vegetation,crops,shrub_and_scrub,bare_soil,snow_and_ice,trees,built
2016,6076.6274509803925,59421.73725490195,41.88235294117647,3850817.3490196047,42099557.32941184,14800445.878431324,1111.1725490196081,245992.73725490196,90224.32156862745
2017,3924.2313725490194,1999.81568627451,1.3137254901960784,4184851.4509803886,36927591.34117652,19863901.184313703,1330.1333333333337,87277.83137254902,82811.73333333334
2018,2782.1372549019607,1179.9333333333332,6.780392156862745,3788922.7882352904,35799245.054902,21431869.658823505,783.2039215686277,46884.878431372555,82014.6
2019,2737.380392156863,4488.21176470588,0.7803921568627451,3844078.941176468,33091119.701960817,24096484.478431333,708.8470588235297,32032.090196078432,82038.60392156863
2020,2412.745098039216,1124.9725490196079,7.0,3692621.399999996,31948674.937254928,25402177.054901924,766.4627450980395,23136.21568627451,82768.24705882354
2021,3721.929411764706,9004.121568627452,26.98823529411765,5231294.023529417,33641195.87058825,22129525.529411715,613.9490196078432,45427.25882352942,92879.36470588236
2022,9261.007843137257,56272.83137254903,20.0,4330008.247058826,39066881.21960792,17448295.15294113,664.8980392156864,141346.7294117647,100938.94901960784
2023,7938.745098039215,21335.40392156863,74.64313725490196,4763030.921568626,38001339.60784318,18212670.396078385,663.2666666666669,53331.09803921568,93304.95294117648
