Year,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare_soil,snow_and_ice
2016,25978.976470588237,715443.925490196,502065.75294117664,183,513483.305882353,11515511.490196083,16126.47843137255,2345670.4,2.0
2017,6685.501960784313,550975.6196078431,288618.38431372546,8,874241.0901960784,11180293.694117647,16509.733333333334,2717131.305882354,2.0
2018,8397.121568627452,314017.8901960784,306560.2352941177,75,936251.2078431372,11001118.321568627,16685.84705882353,3051350.7058823537,9.0
2019,4484.0,439384.9450980392,319811.231372549,148,1766283.635294118,9952797.752941173,18813.4,3132742.364705883,
2020,15142.533333333333,997430.2156862746,868358.2470588239,34,692368.0196078434,11191950.062745094,19506.5568627451,1849675.6941176474,
2021,5724.694117647059,541060.243137255,361526.46666666673,91,818586.4313725489,11716319.741176464,18689.756862745096,2172466.9960784316,
2022,18089.635294117645,773940.7725490197,1199657.4549019614,197,256478.5372549019,11924256.062745098,20525.337254901962,1441311.529411765,9.0
2023,31767.839215686276,931547.4980392156,777681.0784313729,1128,146026.03921568627,12631974.690196075,19810.682352941178,1094527.5019607842,2.0
