Year,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare_soil,snow_and_ice
2016,45660.47058823529,1329515.698039216,1120860.4196078433,199,1286546.8196078436,22823881.843137242,29832.858823529412,6018397.792156862,2.0
2017,16246.46274509804,1076233.3490196078,704143.0235294118,10,2140160.9882352944,22644466.678431332,29723.635294117652,6043831.764705883,81.0
2018,17600.10980392157,688018.3176470587,785622.7764705882,113,2249229.6196078435,21985155.22745094,31250.811764705883,6897898.039215689,9.0
2019,9907.011764705881,828581.035294118,656583.0392156863,166,4063206.5254901964,19977565.760784306,34675.74509803922,7084211.784313725,
2020,39748.76078431372,1931201.2549019605,1648991.3999999994,207,1515401.4745098045,23014403.066666625,35755.72549019608,4469188.219607844,
2021,10010.8,1003905.9058823528,828283.6941176469,91,1772330.8784313726,23281127.937254865,34490.18823529412,5724656.498039217,
2022,38855.870588235295,1654898.0901960786,2207585.1254901965,234,505095.1058823528,25168691.337254755,38615.02352941177,3040898.3490196075,24.0
2023,64682.21568627452,1834097.976470588,1533832.474509804,1756,310559.4078431373,26287711.192156706,36511.00392156863,2585732.6313725496,14.0
