Year,water,trees,grass,crops,shrub_and_scrub,built,bare_soil,snow_and_ice,flooded_vegetation
2016,2875.7686274509806,151378.9176470588,59987.19215686274,83589.21176470586,2621629.874509803,2520.282352941176,444362.6980392157,1.0,
2017,2730.0,100475.43529411766,31184.729411764707,173660.9411764706,2570325.6352941184,1960.0,486008.20392156875,,
2018,2394.0,51180.64705882353,12308.666666666666,164927.7568627451,2450154.8274509814,1510.6901960784314,683860.3568627452,8.0,
2019,1087.0,69672.93333333333,39231.35294117647,305418.1803921568,2201402.3568627452,1757.0,747776.1215686277,,
2020,5109.0,161603.15686274515,135719.60784313726,121859.34509803922,2604841.9333333336,1548.0,335661.90196078434,,2.0
2021,1854.1098039215685,90078.16078431372,52075.2117647059,187383.36078431373,2607354.505882353,1653.929411764706,425945.6666666667,,
2022,3182.0,154642.58039215687,283588.694117647,19444.93725490196,2633957.505882352,1685.270588235294,269830.9568627451,13.0,
2023,3931.0,160224.17647058825,107123.05882352941,8146.827450980391,2871943.6901960773,1383.8196078431372,213590.37254901967,1.0,1.0
