Year,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare_soil,snow_and_ice
2016,45653.57647058823,1329242.8823529405,1120538.670588235,199,1286439.5490196082,22820219.145098235,29825.30588235294,6017780.874509802,2.0
2017,16246.46274509804,1076056.8823529407,703911.0823529408,10,2139974.972549019,22640788.65882367,29719.047058823533,6043112.898039214,81.0
2018,17599.592156862745,687928.1411764709,785362.3058823525,113,2249025.007843137,21981879.996078517,31245.97254901961,6896737.988235292,9.0
2019,9907.011764705881,828404.1843137253,656421.5372549018,166,4062824.050980391,19974362.56862755,34669.450980392154,7083146.199999995,
2020,39748.76078431372,1930833.799999999,1648590.847058822,207,1515233.4901960786,23011101.219607923,35748.33333333333,4468437.552941174,
2021,10010.8,1003716.8705882351,828101.3058823522,91,1772166.3647058825,23277498.376470707,34482.63921568627,5723833.647058823,
2022,38852.25490196078,1654540.2431372541,2207046.7725490187,234,505005.85490196076,25165148.549019642,38607.87450980392,3040441.4549019607,24.0
2023,64678.77254901961,1833697.2549019603,1533436.0196078422,1756,310501.1882352941,26283932.89019612,36504.89803921568,2585379.980392156,14.0
