Year,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare_soil
2016,38741.94901960784,246740.23137254897,116235.01960784341,160.8392156862745,97192.74509803945,318269.25490196043,9684.678431372546,1321.956862745098
2017,30589.517647058823,187777.68627450973,105366.69411764742,538.9450980392157,126800.01568627468,363601.4470588232,10518.968627450975,3153.3999999999996
2018,36117.7450980392,237408.88627450954,100521.03529411786,123.71372549019608,114949.6313725493,327096.4352941174,10694.658823529404,1434.5686274509803
2019,36546.1450980392,211794.25882352924,100743.77254901986,139.41960784313727,116790.51764705929,349690.8823529407,10561.372549019594,2080.3058823529414
2020,31134.886274509794,245849.5529411763,115169.45098039231,98.89803921568627,120638.82352941226,303689.10196078423,10208.007843137242,1557.9529411764706
2021,41580.611764705885,317335.63529411756,105761.46274509825,276.88235294117646,105116.30196078465,247302.91372548987,10186.05490196077,786.8117647058824
2022,32583.364705882344,260115.84705882292,90394.69803921593,13.67450980392157,112559.77647058877,319741.3999999996,10570.27058823528,2367.643137254902
2023,47826.39215686274,309264.1725490193,89352.19607843162,185.6,92373.62745098077,275519.3999999997,11085.125490196066,2740.160784313726
