Year,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare_soil
2016,3153.1843137254887,72528.34117647044,25593.576470588243,9.0,4710.435294117649,313321.0980392155,777.9254901960784,999.0
2017,2120.713725490196,33252.29019607845,14498.278431372551,575.8666666666667,12067.27058823529,354863.4039215679,824.7372549019607,2890.0
2018,3551.949019607842,36694.6274509804,18909.23921568627,189.0,12499.788235294118,342137.8705882344,831.086274509804,6279.0
2019,3515.4352941176453,25645.415686274537,17896.113725490195,229.0,11406.415686274513,358569.23529411666,875.9411764705882,2955.0039215686274
2020,3157.278431372548,49281.18039215683,22563.94901960784,92.0,11656.647058823533,330194.98823529296,828.5176470588236,3318.0
2021,4666.39607843137,87692.556862745,6518.219607843141,106.0,3987.1764705882347,317293.64313725365,828.5686274509803,
2022,3492.160784313724,60645.71764705876,3034.3098039215683,,4690.658823529413,348206.8745098029,861.8392156862742,161.0
2023,5940.580392156861,90286.46274509786,2594.2431372549017,432.10980392156864,2830.396078431372,318162.61176470557,832.1568627450979,14.0
