Year,trees,grass,crops,shrub_and_scrub,built,bare_soil
2016,20.0,5860.764705882353,372021.4431372549,818400.9098039216,11.0,4801563.1960784355
2017,,,422026.8196078433,570730.0078431373,5.0,5005115.486274513
2018,,,353231.42352941184,361001.0901960784,,5283644.800000003
2019,,,258524.89411764708,155520.6549019607,,5583831.764705883
2020,,,291661.8627450981,210108.3647058823,,5496107.086274512
2021,,,521508.84313725494,142830.21568627446,,5333538.254901964
2022,,,344744.8039215686,190818.47450980393,,5462314.03529412
2023,,,269398.9843137256,418988.725490196,,5309489.603921569
