Year,water,grass,crops,shrub_and_scrub,bare_soil,trees,flooded_vegetation,built,snow_and_ice
2016,59878.50588235292,469.3529411764706,351400.84705882124,1645406.0666666694,18416280.788235296,10507.674509803921,19871.9137254902,4576.76862745098,65.0
2017,51098.925490196074,153.78823529411764,356514.91764705646,1340617.9647058826,18727049.235294115,8332.396078431371,20955.215686274507,3734.4745098039216,
2018,56810.12941176468,117.24313725490197,318115.3960784289,1134884.4431372555,18967142.352941174,7202.905882352941,20222.2431372549,3960.2039215686273,2.0
2019,46793.83137254901,182.3764705882353,278484.5568627426,935884.7764705882,19209907.929411758,7244.239215686274,26175.513725490197,3783.6941176470586,
2020,51723.42352941176,143.42352941176472,284177.8901960759,1080619.2941176477,19051605.454901956,5436.062745098039,31077.372549019605,3671.9960784313726,2.0
2021,78965.97647058821,36.41568627450981,390452.8392156834,1038795.4117647065,18973359.678431373,6999.807843137255,16528.611764705885,3296.176470588235,22.0
2022,143494.5372549019,,311407.9254901936,1005826.835294118,19027311.607843127,6005.098039215686,11272.717647058822,3115.1960784313724,23.0
2023,107186.93725490196,102.0,283115.4117647036,1537866.9568627453,18550496.972549014,11307.52156862745,14701.450980392157,3666.6666666666665,13.0
