Year,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare_soil,snow_and_ice
2016,34244.61960784314,153665.9294117647,94717.46666666667,1408.1843137254898,10065495.066666665,10343015.439215686,32238.29411764706,2188318.729411764,5
2017,35905.61568627451,206043.0196078431,128453.85098039216,2680.6000000000004,7135110.937254904,13071009.47843139,33135.78823529411,2300746.439215686,23
2018,39847.87450980392,161346.28235294117,47767.16862745097,1598.8352941176472,8532821.01960784,11256228.301960785,34136.20392156862,2839356.043137254,7
2019,53045.878431372555,207904.9764705882,146896.84705882354,1632.9058823529417,9222392.631372549,11951546.792156866,34088.58039215686,1295598.1176470588,2
2020,56060.4705882353,264652.325490196,771303.0196078431,979.1098039215686,6031123.121568627,14320476.411764732,35681.5294117647,1432823.7411764702,9
2021,65232.96470588236,865083.4862745097,1770274.4705882352,1720.556862745098,2111154.976470588,16355919.831372587,39157.874509803914,1704501.5686274504,63
2022,101035.431372549,925492.5333333332,1459243.1529411762,8863.364705882352,1518513.3529411764,18272742.819607906,41152.658823529404,585524.4156862745,541
2023,69723.79607843138,325323.7058823529,382652.8549019608,2018.478431372549,1896431.3999999987,17921414.45098045,38769.68235294117,2276726.3607843136,48
