Year,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare_soil,snow_and_ice
2016,753.458823529412,6638.729411764707,7126.0392156862745,631.5098039215686,988919.4549019609,2029227.7176470591,1535.0,212918.3921568627,13.0
2017,530.9450980392156,14813.952941176472,4921.0,1053.8705882352942,729047.3019607845,2388264.792156863,1762.0,107368.43921568627,1.0
2018,1131.2274509803924,9677.964705882354,15644.733333333334,677.8196078431367,798663.8784313726,2184810.1019607848,1808.0,235349.57647058822,
2019,1755.764705882353,31860.89019607843,3323.3647058823526,773.9254901960779,802067.7450980395,2338955.6666666674,2067.0,66958.94509803921,
2020,1465.1803921568628,50455.96078431372,168113.61960784314,457.52156862745096,430531.2549019611,2553058.4352941196,1995.4235294117648,41685.905882352934,
2021,2254.4039215686275,239224.5725490196,315402.2901960784,806.5647058823529,110705.77254901963,2492358.941176472,2870.105882352941,84140.65098039218,
2022,4476.909803921566,205362.03529411764,297466.937254902,564.6196078431373,92429.58039215683,2612417.529411766,2823.564705882353,32206.12549019607,16.0
2023,2400.7607843137257,54619.211764705884,31113.843137254906,525.078431372549,263863.96862745093,2717826.3372549033,2741.0470588235294,174666.0549019607,7.0
