Year,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare_soil,snow_and_ice
2016,315713.18823529367,12561757.427450906,242789.0196078432,23065.823529411762,54900.81176470588,2381973.654901961,42431.854901960745,41352.3960784314,16360.69019607843
2017,329241.5803921563,10602272.235294072,189582.94509803934,33571.49411764706,237517.59999999998,4070595.5254901927,60549.26666666666,135004.15686274515,22010.062745098057
2018,351302.8549019602,11442601.478431301,280557.5882352943,26895.12941176471,246041.69019607842,3179727.2509803907,60091.031372549056,75172.65098039218,17955.192156862748
2019,334716.1803921564,10156760.015686234,243752.09019607858,28375.207843137254,354112.7647058824,4385442.352941168,64739.38823529414,93438.29019607845,19008.576470588243
2020,317464.34509803884,11162563.972548962,303945.2745098041,32382.843137254902,184799.19215686273,3539914.3294117628,64330.59607843138,54844.529411764735,20099.784313725508
2021,342868.3215686272,11673121.90980385,296025.30588235304,27647.513725490197,111925.80392156859,3099048.070588235,59751.07843137253,49115.53333333336,20841.32941176472
2022,328920.48627450946,12212128.137254827,396410.7411764707,28573.980392156864,116563.34901960782,2481293.05882353,64189.42745098037,33110.35294117649,19155.33333333334
2023,326322.447058823,12596377.905882278,381164.90196078445,30071.91764705882,98200.92156862744,2140717.68627451,60776.43921568626,28103.1254901961,18609.521568627464
