Year,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare_soil,snow_and_ice
2016,100541.70196078428,12182971.47450966,1086854.2352941171,7319.741176470594,836291.6078431375,1172246.635294118,356815.5647058813,25766.66666666667,2138.258823529413
2017,110482.2705882352,10856543.988235183,858869.0274509797,14753.156862745107,1185273.7019607842,2277106.4901960753,400667.4980392138,63543.00392156864,3706.7490196078406
2018,157067.1098039216,11370664.176470468,889011.1254901956,10064.835294117664,1262346.4470588227,1655679.8941176448,397141.0431372534,26484.003921568627,2487.2509803921575
2019,159115.92941176466,9931495.796078373,899412.5803921561,11906.129411764716,1357792.7333333322,2971700.0117647015,410479.2823529393,26348.396078431382,2695.0274509803894
2020,135803.0156862745,10811777.658823458,925390.9294117637,13110.568627450997,1223986.6431372545,2234233.956862744,409030.59999999823,14437.356862745108,3175.1568627450943
2021,149390.21960784312,11345662.47058815,842967.1019607837,10950.105882352957,1177330.8784313723,1824146.3176470583,397326.8392156845,20092.54901960785,3079.403921568625
2022,110407.41960784308,11537795.7764705,958105.050980391,10916.019607843153,1159358.0078431368,1572713.2901960777,405657.2627450964,13172.890196078437,2820.168627450978
2023,129877.51372549016,11841375.56470577,930955.2901960774,12534.639215686291,1122373.9333333333,1315145.6313725489,393954.7529411749,21853.76078431373,2874.799999999998
